ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9842980,HX492715,11/02/2014 23:58,012XX W RANDOLPH ST,033B,ROBBERY,ATTEMPT: ARMED-OTHER FIREARM,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1224,12,27,28,3,1167970,1901201,2014,11/09/2014 12:40,41.88443702,-87.65864792,"(41.884437016, -87.658647919)"
9842954,HX492709,11/02/2014 23:55,028XX N MC VICKER AVE,630,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,2511,25,29,19,5,1135525,1918543,2014,11/09/2014 12:40,41.93266376,-87.77737879,"(41.932663762, -87.77737879)"
9842934,HX492723,11/02/2014 23:50,020XX E 71ST ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,331,3,5,43,18,1191157,1858366,2014,11/09/2014 12:40,41.7663638,-87.57489235,"(41.766363803, -87.574892353)"
9842956,HX492712,11/02/2014 23:45,041XX W 31ST ST,560,ASSAULT,SIMPLE,BAR OR TAVERN,TRUE,FALSE,1031,10,22,30,08A,1149243,1883677,2014,11/09/2014 12:40,41.83673246,-87.72787004,"(41.83673246, -87.727870036)"
9842936,HX492720,11/02/2014 23:40,022XX N OAKLEY AVE,820,THEFT,$500 AND UNDER,PARK PROPERTY,FALSE,FALSE,1432,14,32,22,6,1160510,1914818,2014,11/09/2014 12:40,41.92196082,-87.68566445,"(41.921960817, -87.685664454)"
9842952,HX492716,11/02/2014 23:35,055XX W GRAND AVE,2025,NARCOTICS,POSS: HALLUCINOGENS,POLICE FACILITY/VEH PARKING LOT,TRUE,FALSE,2515,25,29,19,18,1138769,1913443,2014,11/09/2014 12:40,41.91861046,-87.76558134,"(41.918610464, -87.765581339)"
9842949,HX492714,11/02/2014 23:30,013XX E 56TH ST,340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,SIDEWALK,FALSE,FALSE,235,2,5,41,3,1186264,1868105,2014,11/09/2014 12:40,41.79320543,-87.59251921,"(41.793205433, -87.592519205)"
9842962,HX492703,11/02/2014 23:30,062XX N WHIPPLE ST,560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,2413,24,50,2,08A,1154926,1941324,2014,11/09/2014 12:40,41.99480886,-87.70546813,"(41.994808856, -87.705468126)"
9843248,HX492874,11/02/2014 23:30,020XX W CHASE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2424,24,49,1,7,1160880,1948333,2014,11/09/2014 12:40,42.01391988,-87.68337078,"(42.013919876, -87.683370777)"
9843020,HX492738,11/02/2014 23:30,063XX N CLARK ST,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,2433,24,40,77,08B,1164394,1942405,2014,11/09/2014 12:40,41.99757937,-87.67060965,"(41.997579373, -87.670609645)"
9843023,HX492702,11/02/2014 23:29,041XX W 78TH ST,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,FALSE,TRUE,834,8,13,70,26,1150317,1852700,2014,11/09/2014 12:40,41.75170603,-87.72473377,"(41.751706032, -87.72473377)"
9843013,HX492698,11/02/2014 23:25,062XX S HAMLIN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,823,8,13,65,14,1152146,1863194,2014,11/09/2014 12:40,41.78046757,-87.71775604,"(41.780467568, -87.717756035)"
9844101,HX493529,11/02/2014 23:00,036XX W MARQUETTE RD,820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,FALSE,FALSE,833,8,13,65,6,1153287,1859979,2014,11/09/2014 12:40,41.77162262,-87.71365782,"(41.77162262, -87.713657817)"
9846104,HX495312,11/02/2014 23:00,061XX S RICHMOND ST,281,THEFT,NON-AGGRAVATED,RESIDENCE,FALSE,FALSE,823,8,15,66,2,1157725,1863873,2014,11/09/2014 12:40,41.78221943,-87.69728386,"(41.782219425, -87.697283858)"
9843290,HX492916,11/02/2014 23:00,038XX W 64TH PL,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,823,8,13,65,7,1151805,1861594,2014,11/09/2014 12:40,41.77608361,-87.71904812,"(41.77608361, -87.719048117)"
9843142,HX492820,11/02/2014 23:00,022XX N NARRAGANSETT AVE,810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,FALSE,FALSE,2512,25,36,19,6,1133340,1914260,2014,11/09/2014 12:40,41.92094931,-87.78550914,"(41.920949305, -87.785509141)"
9843284,HX493003,11/02/2014 23:00,042XX S DREXEL BLVD,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,FALSE,214,2,4,36,26,1182862,1876850,2014,11/09/2014 12:40,41.81728218,-87.604722,"(41.817282177, -87.604722001)"
9844610,HX494038,11/02/2014 23:00,005XX N STATE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,TRUE,1831,18,42,8,14,1176232,1904049,2014,11/09/2014 12:40,41.89206983,-87.62822314,"(41.89206983, -87.62822314)"
