Primary Type,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,22.0,24.0,25.0
ARSON,1.0,4.0,17.0,24.0,16.0,18.0,42.0,33.0,30.0,22.0,18.0,14.0,6.0,9.0,9.0,13.0,4.0,15.0,7.0,5.0,2.0,29.0
ASSAULT,409.0,717.0,877.0,1037.0,881.0,993.0,1045.0,856.0,742.0,726.0,963.0,632.0,385.0,700.0,409.0,317.0,343.0,393.0,204.0,526.0,419.0,859.0
BATTERY,1037.0,1878.0,2472.0,2790.0,2239.0,2978.0,3145.0,2363.0,2138.0,2327.0,3120.0,1662.0,1294.0,2268.0,1194.0,981.0,1208.0,1289.0,643.0,1232.0,1184.0,2442.0
BURGLARY,149.0,527.0,717.0,841.0,590.0,767.0,687.0,1172.0,679.0,487.0,452.0,604.0,616.0,304.0,462.0,399.0,210.0,608.0,178.0,419.0,387.0,659.0
CONCEALED CARRY LICENSE VIOLATION,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
CRIM SEXUAL ASSAULT,29.0,43.0,50.0,60.0,48.0,55.0,68.0,69.0,40.0,44.0,82.0,31.0,37.0,41.0,18.0,22.0,38.0,55.0,23.0,24.0,37.0,55.0
CRIMINAL DAMAGE,457.0,925.0,1148.0,1540.0,1228.0,1351.0,1238.0,1959.0,1407.0,1102.0,1126.0,1219.0,881.0,831.0,972.0,842.0,639.0,1077.0,388.0,780.0,715.0,1375.0
CRIMINAL TRESPASS,602.0,344.0,370.0,319.0,289.0,368.0,329.0,318.0,277.0,225.0,255.0,301.0,185.0,333.0,302.0,106.0,412.0,362.0,99.0,212.0,211.0,232.0
DECEPTIVE PRACTICE,1231.0,536.0,422.0,483.0,311.0,699.0,453.0,735.0,476.0,291.0,481.0,563.0,357.0,306.0,520.0,314.0,1017.0,769.0,233.0,429.0,347.0,568.0
